AGE,,HP,Low Defense,High Defense,Attack,Movement,Range ,Vision Range,Mana Cost
1,AVERAGE VALS,575,7.5,27.5,325,,,,
,Fighter I,450,5,25,400,4,0,3,500
,Tank I,700,10,30,250,3,0,3,400
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2,AVERAGE VALS,566.6666667,6.666666667,25,366.6666667,,,,
,Fighter II,450,5,25,500,5,0,3,600
,Tank II,850,10,35,300,3,0,4,500
,Short Range I,400,5,15,300,4,1,3,800
,Long Range I,350,5,10,300,2,2,1,850
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3,AVERAGE VALS,566.6666667,6.666666667,25,366.6666667,,,,
,Fighter III,550,5,30,600,6,0,3,900
,Mid I,750,15,30,450,4,0,4,950
,Tank III,1000,20,40,300,3,0,5,750
,Short Range II,500,10,15,300,4,1,3,900
,Long Range II,350,5,10,400,3,2,1,950
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4,AVERAGE VALS,566.6666667,6.666666667,25,366.6666667,,,,
,Fighter IV,600,10,30,650,6,0,3,1000
,Mid II,850,20,30,500,4,0,4,950
,Tank IV,1100,20,45,350,4,0,5,850
,Short Range III,650,10,15,450,4,2,3,1000
,Long Range III,500,5,10,500,3,3,1,1100
,Artillery I,300,5,5,500,2,4,1,1000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5,AVERAGE VALS,566.6666667,6.666666667,25,366.6666667,,,,
,Assassin I,450,0,50,900,8,0,2,1500
,Fighter V,900,15,30,700,6,0,3,1250
,Mid III,1200,20,30,550,4,0,4,1300
,Tank V,1500,20,45,400,4,0,5,1100
,Short Range III,900,10,20,600,4,2,3,1250
,Long Range III,500,5,10,700,4,3,1,1350
,Artillery II,300,5,5,600,2,5,1,1400
