AGE,Name,HP,Phys Def,Mag Def,Attack,Attack Type,Movement Total,Grass Cost,Woods Cost,Mountain Cost,Range ,Vision Range,Mana Cost,ManaPerTurn,image Filename
1,,,,,,,,,,,,,,,
,P Fighter I,450,25,5,400,P,4,1,1,9999,0,3,500,0,asdf
,P Tank I,700,30,10,250,P,3,1,1,9999,0,3,400,0,asdf
,M Fighter I,450,5,25,400,M,4,1,1,9999,0,3,500,0,asdf
,M Tank I,700,10,30,250,M,3,1,1,9999,0,3,400,0,asdf
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
,P Fighter II,450,25,5,500,P,5,1,1,9999,0,3,600,0,asdf
,P Tank II,850,35,10,300,P,3,1,1,9999,0,4,500,0,asdf
,P Short Range I,400,5,15,300,P,4,1,1,9999,1,3,800,0,asdf
,P Long Range I,350,5,10,300,P,2,1,1,9999,2,1,850,0,asdf
,M Fighter II,450,5,25,500,M,5,1,1,9999,0,3,600,0,asdf
,M Tank II,850,10,35,300,M,3,1,1,9999,0,4,500,0,asdf
,M Short Range I,400,15,5,300,M,4,1,1,9999,1,3,800,0,asdf
,M Long Range I,350,10,5,300,M,2,1,1,9999,2,1,850,0,asdf
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
,P Fighter III,550,30,5,600,P,6,1,1,9999,0,3,900,0,asdf
,P Mid I,750,30,15,450,P,4,1,1,9999,0,4,950,0,asdf
,P Tank III,1000,40,20,300,P,3,1,1,9999,0,5,750,0,asdf
,P Short Range II,500,10,15,300,P,4,1,1,9999,1,3,900,0,asdf
,P Long Range II,350,5,10,400,P,3,1,1,9999,2,1,950,0,asdf
,M Fighter III,550,5,30,600,M,6,1,1,9999,0,3,900,0,asdf
,M Mid I,750,15,30,450,M,4,1,1,9999,0,4,950,0,asdf
,M Tank III,1000,20,40,300,M,3,1,1,9999,0,5,750,0,asdf
,M Short Range II,500,15,10,300,M,4,1,1,9999,1,3,900,0,asdf
,M Long Range II,350,10,5,400,M,3,1,1,9999,2,1,950,0,asdf
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
,P Fighter IV,600,30,10,650,P,6,1,1,9999,0,3,1000,0,asdf
,P Mid II,850,30,20,500,P,4,1,1,9999,0,4,950,0,asdf
,P Tank IV,1100,45,20,350,P,4,1,1,9999,0,5,850,0,asdf
,P Short Range III,650,10,15,450,P,4,1,1,9999,2,3,1000,0,asdf
,P Long Range III,500,5,10,500,P,3,1,1,9999,3,1,1100,0,asdf
,P Artillery I,300,5,5,500,P,2,1,1,9999,4,1,1000,0,asdf
,M Fighter IV,600,10,30,650,M,6,1,1,9999,0,3,1000,0,asdf
,M Mid II,850,20,30,500,M,4,1,1,9999,0,4,950,0,asdf
,M Tank IV,1100,20,45,350,M,4,1,1,9999,0,5,850,0,asdf
,M Short Range III,650,15,10,450,M,4,1,1,9999,2,3,1000,0,asdf
,M Long Range III,500,10,5,500,M,3,1,1,9999,3,1,1100,0,asdf
,M Artillery I,300,5,5,500,M,2,1,1,9999,4,1,1000,0,asdf
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
,P Assassin I,450,50,0,900,P,8,1,1,9999,0,2,1500,0,asdf
,P Fighter V,900,30,15,700,P,6,1,1,9999,0,3,1250,0,asdf
,P Mid III,1200,30,20,550,P,4,1,1,9999,0,4,1300,0,asdf
,P Tank V,1500,45,20,400,P,4,1,1,9999,0,5,1100,0,asdf
,P Short Range III,900,10,20,600,P,4,1,1,9999,2,3,1250,0,asdf
,P Long Range III,500,5,10,700,P,4,1,1,9999,3,1,1350,0,asdf
,P Artillery II,300,5,5,600,P,2,1,1,9999,5,1,1400,0,asdf
,M Assassin I,450,0,50,900,M,8,1,1,9999,0,2,1500,0,asdf
,M Fighter V,900,15,30,700,M,6,1,1,9999,0,3,1250,0,asdf
,M Mid III,1200,20,30,550,M,4,1,1,9999,0,4,1300,0,asdf
,M Tank V,1500,20,45,400,M,4,1,1,9999,0,5,1100,0,asdf
,M Short Range III,900,20,10,600,M,4,1,1,9999,2,3,1250,0,asdf
,M Long Range III,500,10,5,700,M,4,1,1,9999,3,1,1350,0,asdf
,M Artillery II,300,5,5,600,M,2,1,1,9999,5,1,1400,0,asdf
