Name,Image Filename,Level,Cost,Cost Scaling,Type,Health,Vision,Valid Terrain,Building Type,Regular Effect,Ancient Ground Effect
Well,,1,300,150,Utility,150,0,Grass-Woods-Ancient_Ground,StartOfTurnEffectBuilding,+ 30 bonus mana gen / turn,+ 100 bonus mana gen / turn
Library,,1,100,300,Utility,200,0,Grass-Woods-Ancient_Ground,StartOfTurnEffectBuilding,+ 5 exp / turn,+ 15 exp / turn
Blockade,,1,50,0,Defensive,70,0,Grass-Woods-Ancient_Ground,NoEffectBuilding,-,-
Portal,,1,250,100,Offensive,100,0,Grass-Woods-Ancient_Ground,SummonerBuilding,Summon radius 1,Summon radius 3
,,,,,,,,,,,
Watchtower,,2,80,20,Utility,110,2+Eagle Eye,Grass-Woods-Mountain-Ancient_Ground,NoEffectBuilding,--,--
Dojo,,2,450,650,Utility,180,0,Grass-Woods-Ancient_Ground,NoEffectBuilding,+ 1 action/turn,+ 2 actions/turn
Temple,,2,300,150,Utility,200,0,Ancient_Ground,Temple,--,"All unit buffs, Varies by # of temples: 1: +2 vision 2: Strengthened +5 Toughness +5 3: +2 move 4: Tenacity 20 5: Strengthed +20 Toughness +10"
Fountain,,2,450,200,Defensive,300,0,Grass-Woods-Ancient_Ground,StartOfTurnEffectBuilding,Start of turn heal units in radius 1 by 15 health,Start of turn heal units in radius 2 by 25 health
Armory,,2,500,500,Offensive,200,0,Grass-Woods-Ancient_Ground,AllUnitModifierBuilding,All units Strengthened 3,"All units Strengthened 3, Toughness 3"
,,,,,,,,,,,
Comms Tower,,3,450,250,Utility,300,2+Eagle Eye,Grass-Woods-Mountain-Ancient_Ground,AllUnitModifierBuilding,"All units Farsight 2, Quickness 1","All Farsight 3, Quickness 2"
Laboratory,,3,700,1000,Utility,250,0,Ancient_Ground,PlayerModifierBuilding,--,Spell +1 cloud level
Cemetery,,3,500,500,Offensive,250,0,Grass-Ancient_Ground,AllUnitModifierBuilding,All units Bloodlust 10,All units Bloodlust 20
Siege Works,,3,500,500,Offensive,250,0,Grass-Ancient_Ground,AllUnitModifierBuilding,All units Siege 50,All units Siege 100
Military Academy,,3,500,500,Defensive,250,0,Grass-Ancient_Ground,AllUnitModifierBuilding,All units Patience 10,All units Patience 20
Sanctuary,,3,500,500,Defensive,250,0,Grass-Ancient_Ground,AllUnitModifierBuilding,All units Hexproof 15,All units Hexproof 30
,,,,,,,,,,,
Ritual Grounds,,4,700,600,Utility,300,0,Grass-Ancient_Ground,PlayerModifierBuilding,Summon cost -15%,Summon cost -30%
Archive,,4,700,600,Utility,300,0,Grass-Ancient_Ground,PlayerModifierBuilding,Spell cost -20%,Spell cost -40%
Studio,,4,700,600,Utility,300,0,Grass-Ancient_Ground,PlayerModifierBuilding,Build cost -20%,Build cost -40%
