Name,Image Filename,Level,Cost,Type,Cloud,Can be Cloud Boosted,Cast Dist From Commander,Combatant/Commander/Building/All,Affects Allied,Affects Enemy,Effect,Limitations
Magic Missile,spell_0_1.png,1,25,Offensive,Circle-0,No,3,Combatant,No,Yes,Unit takes 15-30 damage,
Heal,spell_2_3.png,1,25,Defensive,Circle-0,No,2,Combatant,Yes,No,Unit gains 50% of max health,
Clairvoyance,spell_0_5.png,1,25,Utility,Circle-2,Yes,0,Combatant/Commander,Yes,No,Unit gains Farsight 2 for 3 turns,
Sacrifice,spell_3_5.png,1,0,Utility,Circle-0,No,1,Combatant/Building,Yes,No,Destroy unit; gain 25% of Mana cost,
Research,spell_3_5.png,1,25,Utility,Circle-0,No,0,Commander,Yes,No,Commander gains 50 Research,
,,,,,,,,,,,,
Cone of Flame,spell_0_1.png,2,100,Offensive,Cone-1,Yes,1,Combatant/Commander/Building,Yes,Yes,Unit takes 30 - 45 damage,
Strengthen,spell_0_5.png,2,35,Offensive,Circle-2,Yes,0,Combatant,Yes,No,Unit gains Strengthened 5 for 3 turns,
Repair,spell_2_3.png,2,75,Defensive,Circle-0,No,1,Building,Yes,No,Unit gains 100% of max health,
Toughen,spell_0_5.png,2,35,Defensive,Circle-2,Yes,0,Combatant,Yes,No,Unit gain Toughness 5 for 3 turns,
SKIP,Enhance Modifiers,spell_3_5.png,2,35,Utility,Circle-2,Yes,0,Combatant/Commander/Building,Yes,Yes,Increase duration of all existing modifiers by 3 turns,
Quicken,spell_0_5.png,2,35,Utility,Circle-2,Yes,0,Combatant,Yes,No,Units gain Quickness 2 for 3 turns,
,,,,,,,,,,,,
Cone of Ice,spell_0_1.png,3,125,Offensive,Cone-1,Yes,1,Combatant/Commander,Yes,Yes,Unit takes 30 - 45 damage and gains Sluggish 1 for 3 turns ,
Cone of Electricity,spell_0_1.png,3,125,Offensive,Cone-1,Yes,1,Combatant/Commander,Yes,Yes,Unit takes 30 - 45 damage and gains Weakened 5 for 3 turns ,
Mass Heal,spell_2_3.png,3,100,Defensive,Circle-2,Yes,0,Combatant,Yes,No,Unit gains 25% of max health,
Resolution,spell_0_5.png,3,50,Defensive,Circle-2,Yes,0,Combatant,Yes,No,Unit gains Tenacity 15 for 5 turns,
Refresh,spell_3_5.png,3,100,Utility,Circle-0,No,1,Combatant,Yes,No,Unit regains movement and attack for turn.,
Spacial Shift,spell_3_5.png,3,75,Utility,Circle-0,No,3,Combatant/Commander/Building,Yes,Yes,Switch locations of commander and the chosen unit.,Resulting locations must be legal for both units
,,,,,,,,,,,,
Cone of Light,spell_0_1.png,4,175,Offensive,Cone-1,Yes,1,Combatant/Commander,Yes,Yes,Unit takes 45-90 damage and gains Blinded 2 for 3 turns,
Mana Shield,spell_2_3.png,4,175,Defensive,Circle-2,Yes,0,Combatant/Building,Yes,No,Unit gains Shielded 25 for 3 turns then heal unit 50% max health,
Levitation,spell_0_5.png,4,100,Utility,Circle-2,Yes,0,Combatant/Commander,Yes,No,Unit gains Flight for 3 turns,
